,Location,Type,Start,End,Duration
2386,Location 6,Dry,2019-02-06,2019-02-08,3
2387,Location 6,Wet,2019-02-09,2019-02-10,2
2388,Location 6,Dry,2019-02-11,2019-02-12,2
2389,Location 6,Wet,2019-02-13,2019-02-17,5
2390,Location 6,Dry,2019-02-18,2019-02-26,9
2391,Location 6,Wet,2019-02-27,2019-02-28,2
2392,Location 6,Dry,2019-03-01,2019-03-01,1
2393,Location 6,Wet,2019-03-02,2019-03-03,2
2394,Location 6,Dry,2019-03-04,2019-03-05,2
2395,Location 6,Wet,2019-03-06,2019-03-08,3
2396,Location 6,Dry,2019-03-09,2019-03-09,1
2397,Location 6,Wet,2019-03-10,2019-03-10,1
2398,Location 6,Dry,2019-03-11,2019-03-19,9
2399,Location 6,Wet,2019-03-20,2019-03-21,2
2400,Location 6,Dry,2019-03-22,2019-03-22,1
2401,Location 6,Wet,2019-03-23,2019-03-23,1
2402,Location 6,Dry,2019-03-24,2019-03-25,2
2403,Location 6,Wet,2019-03-26,2019-03-26,1
2404,Location 6,Dry,2019-03-27,2019-03-27,1
2405,Location 6,Wet,2019-03-28,2019-03-28,1
2406,Location 6,Dry,2019-03-29,2019-04-05,8
2407,Location 6,Wet,2019-04-06,2019-04-06,1
2408,Location 6,Dry,2019-04-07,2019-04-15,9
2409,Location 6,Wet,2019-04-16,2019-04-16,1
2410,Location 6,Dry,2019-04-17,2019-05-15,29
2411,Location 6,Wet,2019-05-16,2019-05-17,2
2412,Location 6,Dry,2019-05-18,2019-05-18,1
2413,Location 6,Wet,2019-05-19,2019-05-20,2
2414,Location 6,Dry,2019-05-21,2019-11-26,190
2415,Location 6,Wet,2019-11-27,2019-11-28,2
2416,Location 6,Dry,2019-11-29,2019-11-30,2
2417,Location 6,Wet,2019-12-01,2019-12-05,5
2418,Location 6,Dry,2019-12-06,2019-12-07,2
2419,Location 6,Wet,2019-12-08,2019-12-09,2
2420,Location 6,Dry,2019-12-10,2019-12-17,8
2421,Location 6,Wet,2019-12-18,2019-12-19,2
2422,Location 6,Dry,2019-12-20,2019-12-21,2
2423,Location 6,Wet,2019-12-22,2019-12-23,2
2424,Location 6,Dry,2019-12-24,2019-12-24,1
2425,Location 6,Wet,2019-12-25,2019-12-26,2
2426,Location 6,Dry,2019-12-27,2019-12-29,3
2427,Location 6,Wet,2019-12-30,2019-12-30,1
2428,Location 6,Dry,2019-01-01,2019-12-31,365
2429,Location 6,Wet,2019-01-06,2019-01-06,1
2430,Location 6,Dry,2019-01-07,2019-01-11,5
2431,Location 6,Wet,2019-01-12,2019-01-13,2
2432,Location 6,Dry,2019-01-14,2019-01-14,1
2433,Location 6,Wet,2019-01-15,2019-01-18,4
2434,Location 6,Dry,2019-01-19,2019-01-31,13
2435,Location 6,Wet,2019-02-01,2019-02-06,6
2436,Location 6,Dry,2019-02-07,2019-02-09,3
2437,Location 6,Wet,2019-02-10,2019-02-11,2
2438,Location 6,Dry,2019-02-12,2019-02-13,2
2439,Location 6,Wet,2019-02-14,2019-02-16,3
2440,Location 6,Dry,2019-02-17,2019-02-17,1
2441,Location 6,Wet,2019-02-18,2019-02-18,1
2442,Location 6,Dry,2019-02-19,2019-02-20,2
2443,Location 6,Wet,2019-02-21,2019-02-22,2
2444,Location 6,Dry,2019-02-23,2019-03-01,7
2445,Location 6,Wet,2019-03-02,2019-03-03,2
2446,Location 6,Dry,2019-03-04,2019-03-06,3
2447,Location 6,Wet,2019-03-07,2019-03-07,1
2448,Location 6,Dry,2019-03-08,2019-03-11,4
2449,Location 6,Wet,2019-03-12,2019-03-12,1
2450,Location 6,Dry,2019-03-13,2019-03-21,9
2451,Location 6,Wet,2019-03-22,2019-03-22,1
2452,Location 6,Dry,2019-03-23,2019-05-16,55
2453,Location 6,Wet,2019-05-17,2019-05-17,1
2454,Location 6,Dry,2019-05-18,2019-05-19,2
2455,Location 6,Wet,2019-05-20,2019-05-20,1
2456,Location 6,Dry,2019-05-21,2019-05-22,2
2457,Location 6,Wet,2019-05-23,2019-05-23,1
2458,Location 6,Dry,2019-05-24,2019-05-26,3
2459,Location 6,Wet,2019-05-27,2019-05-27,1
2460,Location 6,Dry,2019-05-28,2019-11-20,177
2461,Location 6,Wet,2019-11-21,2019-11-21,1
2462,Location 6,Dry,2019-11-22,2019-11-27,6
2463,Location 6,Wet,2019-11-28,2019-11-29,2
2464,Location 6,Dry,2019-11-30,2019-12-03,4
2465,Location 6,Wet,2019-12-04,2019-12-05,2
2466,Location 6,Dry,2019-12-06,2019-12-06,1
2467,Location 6,Wet,2019-12-07,2019-12-07,1
2468,Location 6,Dry,2019-12-08,2019-12-08,1
2469,Location 6,Wet,2019-12-09,2019-12-09,1
2470,Location 6,Dry,2019-12-10,2019-12-22,13
2471,Location 6,Wet,2019-12-23,2019-12-24,2
2472,Location 6,Dry,2019-12-25,2019-12-25,1
2473,Location 6,Wet,2019-12-26,2019-12-27,2
2474,Location 6,Dry,2019-12-28,2020-01-08,12
2475,Location 6,Wet,2020-01-09,2020-01-09,1
2476,Location 6,Dry,2020-01-10,2020-01-16,7
2477,Location 6,Wet,2020-01-17,2020-01-17,1
2478,Location 6,Dry,2020-01-18,2020-01-21,4
2479,Location 6,Wet,2020-01-22,2020-01-22,1
2480,Location 6,Dry,2020-01-23,2020-03-14,52
2481,Location 6,Wet,2020-03-15,2020-03-16,2
2482,Location 6,Dry,2020-03-17,2020-03-22,6
2483,Location 6,Wet,2020-03-23,2020-03-23,1
2484,Location 6,Dry,2020-03-24,2020-03-24,1
2485,Location 6,Wet,2020-03-25,2020-03-25,1
2486,Location 6,Dry,2020-03-26,2020-04-04,10
2487,Location 6,Wet,2020-04-05,2020-04-06,2
2488,Location 6,Dry,2020-04-07,2020-05-11,35
2489,Location 6,Wet,2020-05-12,2020-05-12,1
2490,Location 6,Dry,2020-05-13,2020-05-17,5
2491,Location 6,Wet,2020-05-18,2020-05-18,1
2492,Location 6,Dry,2020-05-19,2020-11-06,172
2493,Location 6,Wet,2020-11-07,2020-11-07,1
2494,Location 6,Dry,2020-11-08,2020-11-13,6
2495,Location 6,Wet,2020-11-14,2020-11-14,1
2496,Location 6,Dry,2020-11-15,2020-11-17,3
2497,Location 6,Wet,2020-11-18,2020-11-18,1
2498,Location 6,Dry,2020-11-19,2020-12-11,23
2499,Location 6,Wet,2020-12-12,2020-12-12,1
2500,Location 6,Dry,2020-12-13,2020-12-13,1
2501,Location 6,Wet,2020-12-14,2020-12-14,1
2502,Location 6,Dry,2020-12-15,2020-12-16,2
2503,Location 6,Wet,2020-12-17,2020-12-17,1
2504,Location 6,Dry,2020-12-18,2020-12-25,8
2505,Location 6,Wet,2020-12-26,2020-12-26,1
2506,Location 6,Dry,2020-12-27,2020-12-27,1
2507,Location 6,Wet,2020-12-28,2020-12-28,1
2508,Location 6,Dry,2020-12-29,2020-12-30,2
2509,Location 6,Wet,2020-12-31,2020-12-31,1
2510,Location 6,Dry,2020-01-01,2020-01-16,16
2511,Location 6,Wet,2020-01-17,2020-01-17,1
2512,Location 6,Dry,2020-01-18,2020-01-20,3
2513,Location 6,Wet,2020-01-21,2020-01-21,1
2514,Location 6,Dry,2020-01-22,2020-02-09,19
2515,Location 6,Wet,2020-02-10,2020-02-10,1
2516,Location 6,Dry,2020-02-11,2020-02-22,12
2517,Location 6,Wet,2020-02-23,2020-02-23,1
2518,Location 6,Dry,2020-02-24,2020-03-01,7
2519,Location 6,Wet,2020-03-02,2020-03-02,1
2520,Location 6,Dry,2020-03-03,2020-03-09,7
2521,Location 6,Wet,2020-03-10,2020-03-11,2
2522,Location 6,Dry,2020-03-12,2020-03-12,1
2523,Location 6,Wet,2020-03-13,2020-03-14,2
2524,Location 6,Dry,2020-03-15,2020-03-16,2
2525,Location 6,Wet,2020-03-17,2020-03-17,1
2526,Location 6,Dry,2020-03-18,2020-03-18,1
2527,Location 6,Wet,2020-03-19,2020-03-20,2
2528,Location 6,Dry,2020-03-21,2020-03-22,2
2529,Location 6,Wet,2020-03-23,2020-03-23,1
2530,Location 6,Dry,2020-03-24,2020-04-05,13
2531,Location 6,Wet,2020-04-06,2020-04-11,6
2532,Location 6,Dry,2020-04-12,2020-05-18,37
2533,Location 6,Wet,2020-05-19,2020-05-19,1
2534,Location 6,Dry,2020-05-20,2020-11-06,171
2535,Location 6,Wet,2020-11-07,2020-11-08,2
2536,Location 6,Dry,2020-11-09,2020-12-27,49
2537,Location 6,Wet,2020-12-28,2020-12-29,2
2538,Location 6,Dry,2020-12-30,2021-01-23,25
2539,Location 6,Wet,2021-01-24,2021-01-25,2
2540,Location 6,Dry,2021-01-26,2021-01-28,3
2541,Location 6,Wet,2021-01-29,2021-01-30,2
2542,Location 6,Dry,2021-01-31,2021-03-03,32
2543,Location 6,Wet,2021-03-04,2021-03-04,1
2544,Location 6,Dry,2021-03-05,2021-03-09,5
2545,Location 6,Wet,2021-03-10,2021-03-11,2
2546,Location 6,Dry,2021-03-12,2021-03-12,1
2547,Location 6,Wet,2021-03-13,2021-03-13,1
2548,Location 6,Dry,2021-03-14,2021-03-15,2
2549,Location 6,Wet,2021-03-16,2021-03-16,1
2550,Location 6,Dry,2021-03-17,2021-09-24,192
2551,Location 6,Wet,2021-09-25,2021-09-25,1
2552,Location 6,Dry,2021-09-26,2021-10-04,9
2553,Location 6,Wet,2021-10-05,2021-10-05,1
2554,Location 6,Dry,2021-10-06,2021-10-07,2
2555,Location 6,Wet,2021-10-08,2021-10-09,2
2556,Location 6,Dry,2021-10-10,2021-10-25,16
2557,Location 6,Wet,2021-10-26,2021-10-26,1
2558,Location 6,Dry,2021-10-27,2021-12-09,44
2559,Location 6,Wet,2021-12-10,2021-12-10,1
2560,Location 6,Dry,2021-12-11,2021-12-13,3
2561,Location 6,Wet,2021-12-14,2021-12-15,2
2562,Location 6,Dry,2021-12-16,2021-12-23,8
2563,Location 6,Wet,2021-12-24,2021-12-26,3
2564,Location 6,Dry,2021-12-27,2021-12-27,1
2565,Location 6,Wet,2021-12-28,2021-12-28,1
2566,Location 6,Dry,2021-12-29,2021-12-29,1
2567,Location 6,Wet,2021-12-30,2021-12-31,2
2568,Location 6,Dry,2022-01-01,2022-03-19,78
2569,Location 6,Wet,2022-03-20,2022-03-20,1
2570,Location 6,Dry,2022-03-21,2022-03-27,7
2571,Location 6,Wet,2022-03-28,2022-03-28,1
2572,Location 6,Dry,2022-03-29,2022-04-11,14
2573,Location 6,Wet,2022-04-12,2022-04-12,1
2574,Location 6,Dry,2022-04-13,2022-04-15,3
2575,Location 6,Wet,2022-04-16,2022-04-17,2
2576,Location 6,Dry,2022-04-18,2022-04-20,3
2577,Location 6,Wet,2022-04-21,2022-04-22,2
2578,Location 6,Dry,2022-04-23,2022-09-18,149
2579,Location 6,Wet,2022-09-19,2022-09-19,1
2580,Location 6,Dry,2022-09-20,2022-11-01,43
2581,Location 6,Wet,2022-11-02,2022-11-02,1
2582,Location 6,Dry,2022-11-03,2022-11-06,4
2583,Location 6,Wet,2022-11-07,2022-11-09,3
2584,Location 6,Dry,2022-11-10,2022-12-01,22
2585,Location 6,Wet,2022-12-02,2022-12-02,1
2586,Location 6,Dry,2022-12-03,2022-12-03,1
2587,Location 6,Wet,2022-12-04,2022-12-04,1
2588,Location 6,Dry,2022-12-05,2022-12-05,1
2589,Location 6,Wet,2022-12-06,2022-12-06,1
2590,Location 6,Dry,2022-12-07,2022-12-08,2
2591,Location 6,Wet,2022-12-09,2022-12-12,4
2592,Location 6,Dry,2022-12-13,2022-12-26,14
2593,Location 6,Wet,2022-12-27,2022-12-31,5
2594,Location 6,Dry,2022-01-01,2022-02-15,46
2595,Location 6,Wet,2022-02-16,2022-02-16,1
2596,Location 6,Dry,2022-02-17,2022-02-22,6
2597,Location 6,Wet,2022-02-23,2022-02-23,1
2598,Location 6,Dry,2022-02-24,2022-03-19,24
2599,Location 6,Wet,2022-03-20,2022-03-20,1
2600,Location 6,Dry,2022-03-21,2022-03-28,8
2601,Location 6,Wet,2022-03-29,2022-03-29,1
2602,Location 6,Dry,2022-03-30,2022-04-21,23
2603,Location 6,Wet,2022-04-22,2022-04-22,1
2604,Location 6,Dry,2022-04-23,2022-09-09,140
2605,Location 6,Wet,2022-09-10,2022-09-10,1
2606,Location 6,Dry,2022-09-11,2022-09-11,1
2607,Location 6,Wet,2022-09-12,2022-09-12,1
2608,Location 6,Dry,2022-09-13,2022-10-14,32
2609,Location 6,Wet,2022-10-15,2022-10-16,2
2610,Location 6,Dry,2022-10-17,2022-11-01,16
2611,Location 6,Wet,2022-11-02,2022-11-02,1
2612,Location 6,Dry,2022-11-03,2022-11-07,5
2613,Location 6,Wet,2022-11-08,2022-11-09,2
2614,Location 6,Dry,2022-11-10,2022-12-10,31
2615,Location 6,Wet,2022-12-11,2022-12-13,3
2616,Location 6,Dry,2022-12-14,2022-12-27,14
2617,Location 6,Wet,2022-12-28,2022-12-28,1
2618,Location 6,Dry,2022-12-29,2022-12-30,2
2619,Location 6,Wet,2022-12-31,2023-01-01,2
2620,Location 6,Dry,2023-01-02,2023-01-02,1
2621,Location 6,Wet,2023-01-03,2023-01-06,4
2622,Location 6,Dry,2023-01-07,2023-01-07,1
2623,Location 6,Wet,2023-01-08,2023-01-12,5
2624,Location 6,Dry,2023-01-13,2023-01-13,1
2625,Location 6,Wet,2023-01-14,2023-01-17,4
2626,Location 6,Dry,2023-01-18,2023-01-18,1
2627,Location 6,Wet,2023-01-19,2023-01-19,1
2628,Location 6,Dry,2023-01-20,2023-02-04,16
2629,Location 6,Wet,2023-02-05,2023-02-06,2
2630,Location 6,Dry,2023-02-07,2023-02-23,17
2631,Location 6,Wet,2023-02-24,2023-02-25,2
2632,Location 6,Dry,2023-02-26,2023-02-26,1
2633,Location 6,Wet,2023-02-27,2023-03-01,3
2634,Location 6,Dry,2023-03-02,2023-03-04,3
2635,Location 6,Wet,2023-03-05,2023-03-06,2
2636,Location 6,Dry,2023-03-07,2023-03-08,2
2637,Location 6,Wet,2023-03-09,2023-03-12,4
2638,Location 6,Dry,2023-03-13,2023-03-13,1
2639,Location 6,Wet,2023-03-14,2023-03-15,2
2640,Location 6,Dry,2023-03-16,2023-03-18,3
2641,Location 6,Wet,2023-03-19,2023-03-23,5
2642,Location 6,Dry,2023-03-24,2023-03-28,5
2643,Location 6,Wet,2023-03-29,2023-03-30,2
2644,Location 6,Dry,2023-03-31,2023-05-01,32
2645,Location 6,Wet,2023-05-02,2023-05-03,2
2646,Location 6,Dry,2023-05-04,2023-06-06,34
2647,Location 6,Wet,2023-06-07,2023-06-07,1
2648,Location 6,Dry,2023-06-08,2023-10-22,137
2649,Location 6,Wet,2023-10-23,2023-10-23,1
2650,Location 6,Dry,2023-10-24,2023-11-15,23
2651,Location 6,Wet,2023-11-16,2023-11-16,1
2652,Location 6,Dry,2023-11-17,2023-11-17,1
2653,Location 6,Wet,2023-11-18,2023-11-19,2
2654,Location 6,Dry,2023-11-20,2023-12-06,17
2655,Location 6,Wet,2023-12-07,2023-12-07,1
2656,Location 6,Dry,2023-12-08,2023-12-17,10
2657,Location 6,Wet,2023-12-18,2023-12-21,4
2658,Location 6,Dry,2023-12-22,2023-12-27,6
2659,Location 6,Wet,2023-01-01,2023-12-31,365
2660,Location 6,Dry,2023-01-02,2023-01-02,1
2661,Location 6,Wet,2023-01-03,2023-01-06,4
2662,Location 6,Dry,2023-01-07,2023-01-09,3
2663,Location 6,Wet,2023-01-10,2023-01-11,2
2664,Location 6,Dry,2023-01-12,2023-01-14,3
2665,Location 6,Wet,2023-01-15,2023-01-17,3
2666,Location 6,Dry,2023-01-18,2023-01-19,2
2667,Location 6,Wet,2023-01-20,2023-01-20,1
2668,Location 6,Dry,2023-01-21,2023-01-29,9
2669,Location 6,Wet,2023-01-30,2023-01-31,2
2670,Location 6,Dry,2023-02-01,2023-02-22,22
2671,Location 6,Wet,2023-02-23,2023-02-26,4
2672,Location 6,Dry,2023-02-27,2023-02-27,1
2673,Location 6,Wet,2023-02-28,2023-03-02,3
2674,Location 6,Dry,2023-03-03,2023-03-10,8
2675,Location 6,Wet,2023-03-11,2023-03-11,1
2676,Location 6,Dry,2023-03-12,2023-03-14,3
2677,Location 6,Wet,2023-03-15,2023-03-16,2
2678,Location 6,Dry,2023-03-17,2023-03-19,3
2679,Location 6,Wet,2023-03-20,2023-03-23,4
2680,Location 6,Dry,2023-03-24,2023-03-29,6
2681,Location 6,Wet,2023-03-30,2023-03-31,2
2682,Location 6,Dry,2023-04-01,2023-05-03,33
2683,Location 6,Wet,2023-05-04,2023-05-05,2
2684,Location 6,Dry,2023-05-06,2023-08-19,106
2685,Location 6,Wet,2023-08-20,2023-08-21,2
2686,Location 6,Dry,2023-08-22,2023-09-30,40
2687,Location 6,Wet,2023-10-01,2023-10-01,1
2688,Location 6,Dry,2023-10-02,2023-11-15,45
2689,Location 6,Wet,2023-11-16,2023-11-16,1
2690,Location 6,Dry,2023-11-17,2023-12-20,34
2691,Location 6,Wet,2023-12-21,2023-12-23,3
2692,Location 6,Dry,2023-12-24,2023-12-29,6
2693,Location 6,Wet,2023-12-30,2023-12-31,2
2694,Location 6,Dry,2024-01-01,2024-01-02,2
2695,Location 6,Wet,2024-01-03,2024-01-03,1
2696,Location 6,Dry,2024-01-04,2024-01-06,3
2697,Location 6,Wet,2024-01-07,2024-01-07,1
2698,Location 6,Dry,2024-01-08,2024-01-10,3
2699,Location 6,Wet,2024-01-11,2024-01-11,1
2700,Location 6,Dry,2024-01-12,2024-01-13,2
2701,Location 6,Wet,2024-01-14,2024-01-14,1
2702,Location 6,Dry,2024-01-15,2024-01-16,2
2703,Location 6,Wet,2024-01-17,2024-01-17,1
2704,Location 6,Dry,2024-01-18,2024-01-20,3
2705,Location 6,Wet,2024-01-21,2024-01-25,5
2706,Location 6,Dry,2024-01-26,2024-01-31,6
2707,Location 6,Wet,2024-02-01,2024-02-06,6
2708,Location 6,Dry,2024-02-07,2024-02-07,1
2709,Location 6,Wet,2024-02-08,2024-02-08,1
2710,Location 6,Dry,2024-02-09,2024-02-14,6
2711,Location 6,Wet,2024-02-15,2024-02-15,1
2712,Location 6,Dry,2024-02-16,2024-02-17,2
2713,Location 6,Wet,2024-02-18,2024-02-19,2
2714,Location 6,Dry,2024-02-20,2024-02-20,1
2715,Location 6,Wet,2024-02-21,2024-02-21,1
2716,Location 6,Dry,2024-02-22,2024-02-29,8
2717,Location 6,Wet,2024-03-01,2024-03-04,4
2718,Location 6,Dry,2024-03-05,2024-03-06,2
2719,Location 6,Wet,2024-03-07,2024-03-07,1
2720,Location 6,Dry,2024-03-08,2024-03-22,15
2721,Location 6,Wet,2024-03-23,2024-03-24,2
2722,Location 6,Dry,2024-03-25,2024-03-27,3
2723,Location 6,Wet,2024-03-28,2024-03-28,1
2724,Location 6,Dry,2024-03-29,2024-03-29,1
2725,Location 6,Wet,2024-03-30,2024-03-31,2
2726,Location 6,Dry,2024-04-01,2024-04-04,4
2727,Location 6,Wet,2024-04-05,2024-04-05,1
2728,Location 6,Dry,2024-04-06,2024-04-12,7
2729,Location 6,Wet,2024-04-13,2024-04-14,2
2730,Location 6,Dry,2024-04-15,2024-05-04,20
2731,Location 6,Wet,2024-05-05,2024-05-05,1
2732,Location 6,Dry,2024-05-06,2024-11-01,180
2733,Location 6,Wet,2024-11-02,2024-11-02,1
2734,Location 6,Dry,2024-11-03,2024-11-11,9
2735,Location 6,Wet,2024-11-12,2024-11-12,1
2736,Location 6,Dry,2024-11-13,2024-11-22,10
2737,Location 6,Wet,2024-11-23,2024-11-23,1
2738,Location 6,Dry,2024-11-24,2024-11-24,1
2739,Location 6,Wet,2024-11-25,2024-11-26,2
2740,Location 6,Dry,2024-11-27,2024-12-11,15
2741,Location 6,Wet,2024-12-12,2024-12-15,4
2742,Location 6,Dry,2024-12-16,2024-12-16,1
2743,Location 6,Wet,2024-12-17,2024-12-17,1
2744,Location 6,Dry,2024-12-18,2024-12-23,6
2745,Location 6,Wet,2024-12-24,2024-12-25,2
2746,Location 6,Dry,2024-12-26,2024-12-26,1
2747,Location 6,Wet,2024-12-27,2024-12-28,2
2748,Location 6,Dry,2024-12-29,2024-12-29,1
2749,Location 6,Wet,2024-12-30,2024-12-30,1
2750,Location 6,Dry,2024-01-01,2024-12-31,366
2751,Location 6,Wet,2024-01-03,2024-01-04,2
2752,Location 6,Dry,2024-01-05,2024-01-20,16
2753,Location 6,Wet,2024-01-21,2024-01-23,3
2754,Location 6,Dry,2024-01-24,2024-01-31,8
2755,Location 6,Wet,2024-02-01,2024-02-02,2
2756,Location 6,Dry,2024-02-03,2024-02-04,2
2757,Location 6,Wet,2024-02-05,2024-02-09,5
2758,Location 6,Dry,2024-02-10,2024-02-19,10
2759,Location 6,Wet,2024-02-20,2024-02-22,3
2760,Location 6,Dry,2024-02-23,2024-03-01,8
2761,Location 6,Wet,2024-03-02,2024-03-04,3
2762,Location 6,Dry,2024-03-05,2024-03-06,2
2763,Location 6,Wet,2024-03-07,2024-03-07,1
2764,Location 6,Dry,2024-03-08,2024-03-15,8
2765,Location 6,Wet,2024-03-16,2024-03-16,1
2766,Location 6,Dry,2024-03-17,2024-03-18,2
2767,Location 6,Wet,2024-03-19,2024-03-19,1
2768,Location 6,Dry,2024-03-20,2024-03-23,4
2769,Location 6,Wet,2024-03-24,2024-03-24,1
2770,Location 6,Dry,2024-03-25,2024-03-29,5
2771,Location 6,Wet,2024-03-30,2024-04-01,3
2772,Location 6,Dry,2024-04-02,2024-04-04,3
2773,Location 6,Wet,2024-04-05,2024-04-06,2
2774,Location 6,Dry,2024-04-07,2024-04-13,7
2775,Location 6,Wet,2024-04-14,2024-04-15,2
2776,Location 6,Dry,2024-04-16,2024-05-04,19
2777,Location 6,Wet,2024-05-05,2024-05-05,1
2778,Location 6,Dry,2024-05-06,2024-11-23,202
2779,Location 6,Wet,2024-11-24,2024-11-24,1
2780,Location 6,Dry,2024-11-25,2024-12-31,37
2781,Location 7,Dry,2017-01-01,2017-01-03,3
2782,Location 7,Wet,2017-01-04,2017-01-05,2
2783,Location 7,Dry,2017-01-06,2017-01-06,1
2784,Location 7,Wet,2017-01-07,2017-01-12,6
2785,Location 7,Dry,2017-01-13,2017-01-18,6
2786,Location 7,Wet,2017-01-19,2017-01-24,6
2787,Location 7,Dry,2017-01-25,2017-02-01,8
2788,Location 7,Wet,2017-02-02,2017-02-04,3
2789,Location 7,Dry,2017-02-05,2017-02-05,1
2790,Location 7,Wet,2017-02-06,2017-02-11,6
2791,Location 7,Dry,2017-02-12,2017-02-15,4
2792,Location 7,Wet,2017-02-16,2017-02-18,3
2793,Location 7,Dry,2017-02-19,2017-02-19,1
2794,Location 7,Wet,2017-02-20,2017-02-22,3
2795,Location 7,Dry,2017-02-23,2017-03-04,10
2796,Location 7,Wet,2017-03-05,2017-03-05,1
2797,Location 7,Dry,2017-03-06,2017-03-20,15
2798,Location 7,Wet,2017-03-21,2017-03-23,3
2799,Location 7,Dry,2017-03-24,2017-03-24,1
2800,Location 7,Wet,2017-03-25,2017-03-25,1
2801,Location 7,Dry,2017-03-26,2017-04-06,12
2802,Location 7,Wet,2017-04-07,2017-04-09,3
2803,Location 7,Dry,2017-04-10,2017-04-12,3
2804,Location 7,Wet,2017-04-13,2017-04-13,1
2805,Location 7,Dry,2017-04-14,2017-04-16,3
2806,Location 7,Wet,2017-04-17,2017-04-18,2
2807,Location 7,Dry,2017-04-19,2017-10-19,184
2808,Location 7,Wet,2017-10-20,2017-10-20,1
2809,Location 7,Dry,2017-10-21,2017-11-08,19
2810,Location 7,Wet,2017-11-09,2017-11-09,1
2811,Location 7,Dry,2017-11-10,2017-11-16,7
2812,Location 7,Wet,2017-11-17,2017-11-17,1
2813,Location 7,Dry,2017-11-18,2017-11-26,9
2814,Location 7,Wet,2017-11-27,2017-11-27,1
2815,Location 7,Dry,2017-11-28,2017-12-31,34
2816,Location 7,Wet,2017-01-01,2017-01-01,1
2817,Location 7,Dry,2017-01-02,2017-01-10,9
2818,Location 7,Wet,2017-01-11,2017-01-11,1
2819,Location 7,Dry,2017-01-12,2017-01-12,1
2820,Location 7,Wet,2017-01-13,2017-01-13,1
2821,Location 7,Dry,2017-01-14,2017-01-18,5
2822,Location 7,Wet,2017-01-19,2017-01-21,3
2823,Location 7,Dry,2017-01-22,2017-01-22,1
2824,Location 7,Wet,2017-01-23,2017-01-24,2
2825,Location 7,Dry,2017-01-25,2017-02-05,12
2826,Location 7,Wet,2017-02-06,2017-02-08,3
2827,Location 7,Dry,2017-02-09,2017-02-10,2
2828,Location 7,Wet,2017-02-11,2017-02-11,1
2829,Location 7,Dry,2017-02-12,2017-02-17,6
2830,Location 7,Wet,2017-02-18,2017-02-18,1
2831,Location 7,Dry,2017-02-19,2017-02-26,8
2832,Location 7,Wet,2017-02-27,2017-02-28,2
2833,Location 7,Dry,2017-03-01,2017-05-06,67
2834,Location 7,Wet,2017-05-07,2017-05-08,2
2835,Location 7,Dry,2017-05-09,2017-11-04,180
2836,Location 7,Wet,2017-11-05,2017-11-05,1
2837,Location 7,Dry,2017-11-06,2018-01-03,59
2838,Location 7,Wet,2018-01-04,2018-01-04,1
2839,Location 7,Dry,2018-01-05,2018-01-08,4
2840,Location 7,Wet,2018-01-09,2018-01-10,2
2841,Location 7,Dry,2018-01-11,2018-01-18,8
2842,Location 7,Wet,2018-01-19,2018-01-19,1
2843,Location 7,Dry,2018-01-20,2018-01-22,3
2844,Location 7,Wet,2018-01-23,2018-01-23,1
2845,Location 7,Dry,2018-01-24,2018-01-24,1
2846,Location 7,Wet,2018-01-25,2018-01-25,1
2847,Location 7,Dry,2018-01-26,2018-02-26,32
2848,Location 7,Wet,2018-02-27,2018-02-27,1
2849,Location 7,Dry,2018-02-28,2018-02-28,1
2850,Location 7,Wet,2018-03-01,2018-03-03,3
2851,Location 7,Dry,2018-03-04,2018-03-13,10
2852,Location 7,Wet,2018-03-14,2018-03-14,1
2853,Location 7,Dry,2018-03-15,2018-03-15,1
2854,Location 7,Wet,2018-03-16,2018-03-17,2
2855,Location 7,Dry,2018-03-18,2018-03-20,3
2856,Location 7,Wet,2018-03-21,2018-03-23,3
2857,Location 7,Dry,2018-03-24,2018-04-06,14
2858,Location 7,Wet,2018-04-07,2018-04-08,2
2859,Location 7,Dry,2018-04-09,2018-04-11,3
2860,Location 7,Wet,2018-04-12,2018-04-12,1
2861,Location 7,Dry,2018-04-13,2018-04-16,4
2862,Location 7,Wet,2018-04-17,2018-04-17,1
2863,Location 7,Dry,2018-04-18,2018-11-21,218
2864,Location 7,Wet,2018-11-22,2018-11-24,3
2865,Location 7,Dry,2018-11-25,2018-11-27,3
2866,Location 7,Wet,2018-11-28,2018-11-30,3
2867,Location 7,Dry,2018-12-01,2018-12-01,1
2868,Location 7,Wet,2018-12-02,2018-12-02,1
2869,Location 7,Dry,2018-12-03,2018-12-04,2
2870,Location 7,Wet,2018-12-05,2018-12-06,2
2871,Location 7,Dry,2018-12-07,2018-12-16,10
2872,Location 7,Wet,2018-12-17,2018-12-17,1
2873,Location 7,Dry,2018-12-18,2018-12-24,7
2874,Location 7,Wet,2018-12-25,2018-12-25,1
2875,Location 7,Dry,2018-01-01,2018-12-31,365
2876,Location 7,Wet,2018-01-09,2018-01-10,2
2877,Location 7,Dry,2018-01-11,2018-02-26,47
2878,Location 7,Wet,2018-02-27,2018-02-27,1
2879,Location 7,Dry,2018-02-28,2018-03-02,3
2880,Location 7,Wet,2018-03-03,2018-03-03,1
2881,Location 7,Dry,2018-03-04,2018-03-10,7
2882,Location 7,Wet,2018-03-11,2018-03-11,1
2883,Location 7,Dry,2018-03-12,2018-03-14,3
2884,Location 7,Wet,2018-03-15,2018-03-15,1
