,Location,Type,Start,End,Duration
117,Location 1,Dry,2019-03-04,2019-03-05,2
118,Location 1,Wet,2019-03-06,2019-03-08,3
119,Location 1,Dry,2019-03-09,2019-03-11,3
120,Location 1,Wet,2019-03-12,2019-03-12,1
121,Location 1,Dry,2019-03-13,2019-03-20,8
122,Location 1,Wet,2019-03-21,2019-03-22,2
123,Location 1,Dry,2019-03-23,2019-04-02,11
124,Location 1,Wet,2019-04-03,2019-04-03,1
125,Location 1,Dry,2019-04-04,2019-04-29,26
126,Location 1,Wet,2019-04-30,2019-04-30,1
127,Location 1,Dry,2019-05-01,2019-05-06,6
128,Location 1,Wet,2019-05-07,2019-05-07,1
129,Location 1,Dry,2019-05-08,2019-05-16,9
130,Location 1,Wet,2019-05-17,2019-05-17,1
131,Location 1,Dry,2019-05-18,2019-05-19,2
132,Location 1,Wet,2019-05-20,2019-05-20,1
133,Location 1,Dry,2019-05-21,2019-05-26,6
134,Location 1,Wet,2019-05-27,2019-05-27,1
135,Location 1,Dry,2019-05-28,2019-09-04,100
136,Location 1,Wet,2019-09-05,2019-09-05,1
137,Location 1,Dry,2019-09-06,2019-09-28,23
138,Location 1,Wet,2019-09-29,2019-09-29,1
139,Location 1,Dry,2019-09-30,2019-11-19,51
140,Location 1,Wet,2019-11-20,2019-11-21,2
141,Location 1,Dry,2019-11-22,2019-11-27,6
142,Location 1,Wet,2019-11-28,2019-11-30,3
143,Location 1,Dry,2019-12-01,2019-12-03,3
144,Location 1,Wet,2019-12-04,2019-12-05,2
145,Location 1,Dry,2019-12-06,2019-12-08,3
146,Location 1,Wet,2019-12-09,2019-12-09,1
147,Location 1,Dry,2019-12-10,2019-12-22,13
148,Location 1,Wet,2019-12-23,2019-12-27,5
149,Location 1,Dry,2019-01-01,2019-12-31,365
150,Location 1,Wet,2019-01-06,2019-01-06,1
151,Location 1,Dry,2019-01-07,2019-01-11,5
152,Location 1,Wet,2019-01-12,2019-01-13,2
153,Location 1,Dry,2019-01-14,2019-01-14,1
154,Location 1,Wet,2019-01-15,2019-01-18,4
155,Location 1,Dry,2019-01-19,2019-01-31,13
156,Location 1,Wet,2019-02-01,2019-02-01,1
157,Location 1,Dry,2019-02-02,2019-02-02,1
158,Location 1,Wet,2019-02-03,2019-02-06,4
159,Location 1,Dry,2019-02-07,2019-02-09,3
160,Location 1,Wet,2019-02-10,2019-02-11,2
161,Location 1,Dry,2019-02-12,2019-02-13,2
162,Location 1,Wet,2019-02-14,2019-02-16,3
163,Location 1,Dry,2019-02-17,2019-02-17,1
164,Location 1,Wet,2019-02-18,2019-02-18,1
165,Location 1,Dry,2019-02-19,2019-02-20,2
166,Location 1,Wet,2019-02-21,2019-02-21,1
167,Location 1,Dry,2019-02-22,2019-03-01,8
168,Location 1,Wet,2019-03-02,2019-03-03,2
169,Location 1,Dry,2019-03-04,2019-03-06,3
170,Location 1,Wet,2019-03-07,2019-03-07,1
171,Location 1,Dry,2019-03-08,2019-03-11,4
172,Location 1,Wet,2019-03-12,2019-03-12,1
173,Location 1,Dry,2019-03-13,2019-03-20,8
174,Location 1,Wet,2019-03-21,2019-03-22,2
175,Location 1,Dry,2019-03-23,2019-04-29,38
176,Location 1,Wet,2019-04-30,2019-04-30,1
177,Location 1,Dry,2019-05-01,2019-05-16,16
178,Location 1,Wet,2019-05-17,2019-05-17,1
179,Location 1,Dry,2019-05-18,2019-05-19,2
180,Location 1,Wet,2019-05-20,2019-05-20,1
181,Location 1,Dry,2019-05-21,2019-05-26,6
182,Location 1,Wet,2019-05-27,2019-05-27,1
183,Location 1,Dry,2019-05-28,2019-11-20,177
184,Location 1,Wet,2019-11-21,2019-11-21,1
